,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,Target
381,1,0,3.7,67,42,2,43,700.0,0
382,1,0,2.9,23,18,8,41,250.0,0
383,1,0,3.4,19,1,6,62,200.0,0
384,1,0,3.6,24,1,6,66,300.0,0
385,1,0,4.0,232,18,6,61,400.0,1
386,1,0,3.9,221,18,2,21,700.0,1
387,1,1,4.1,1063,18,3,66,1.2,1
388,1,0,3.7,93,4,6,65,200.0,0
389,1,0,3.9,233,18,2,66,800.0,1
390,1,0,3.9,211,18,2,66,500.0,1
391,1,0,4.0,1778,18,6,66,200.0,1
392,1,0,3.6,218,42,2,49,800.0,0
393,1,0,3.7,514,4,1,66,600.0,0
394,1,1,4.0,866,18,2,50,900.0,1
395,1,0,3.2,96,42,6,43,400.0,0
396,1,0,3.5,80,1,6,66,250.0,0
397,1,0,4.0,73,4,0,66,300.0,1
398,1,0,3.9,84,18,8,42,400.0,1
399,1,0,3.5,88,1,6,66,350.0,0
400,1,0,3.5,179,1,2,66,600.0,0
401,1,0,3.8,61,4,6,66,100.0,1
402,1,0,3.7,128,42,2,66,450.0,0
403,1,0,3.8,339,18,6,63,400.0,1
404,1,0,4.1,449,4,6,65,100.0,1
405,1,0,4.1,210,18,8,6,150.0,1
406,1,0,3.7,57,4,6,66,200.0,0
407,1,0,3.0,213,1,6,66,400.0,0
408,1,0,3.2,208,18,8,66,250.0,0
409,1,0,3.8,70,1,6,59,100.0,1
410,1,0,4.0,219,4,1,66,600.0,1
411,1,0,3.7,59,1,6,56,200.0,0
412,1,0,3.1,10,1,6,33,500.0,0
413,1,0,3.0,9,42,6,66,400.0,0
414,1,0,3.7,124,42,2,66,750.0,0
415,1,0,3.7,19,42,6,59,100.0,0
417,1,0,3.3,4,4,6,66,150.0,0
418,1,0,3.3,4,42,5,30,150.0,0
419,1,0,3.8,21,4,5,37,200.0,1
420,1,0,3.4,8,1,8,66,250.0,0
421,1,0,3.5,10,42,6,49,400.0,0
423,1,0,3.5,10,42,6,43,400.0,0
424,1,0,3.2,4,42,6,66,200.0,0
425,1,0,3.1,4,1,4,43,350.0,0
427,1,0,3.6,16,17,7,66,500.0,0
431,1,0,3.4,12,18,6,66,300.0,0
433,1,0,3.9,14,18,2,54,600.0,1
434,1,0,3.7,0,18,6,66,300.0,0
435,1,0,2.8,5,42,7,66,199.0,0
